Link,Price_BYN,Price_USD,Model,City,Year,Type_transmission,Vol_drive,Type_fuel,Km,Type_car
https://cars.av.by/audi/a6/101390582,14805,5550,Audi A6 C5 · Рестайлинг,Калинковичи,2002,механика,2.5, дизель,356944,универсал
https://cars.av.by/audi/a6/101172168,9336,3500,Audi A6 C4,Минск,1995,механика,1.8, бензин,303900,седан
https://cars.av.by/audi/a6/101319450,18670,6999,Audi A6 C6,Минск,2004,автомат,3.0, дизель,320000,седан
https://cars.av.by/audi/a6/100873297,39212,14700,Audi A6 C7,Брест,2012,автомат,2.0, бензин,171000,седан
https://cars.av.by/audi/a6/101315435,33611,12600,Audi A6 C6 · Рестайлинг,Микашевичи,2009,автомат,2.0, дизель,236000,универсал
https://cars.av.by/audi/a6/101352493,25341,9500,Audi A6 C6,Костюковичи,2006,автомат,2.7, дизель,343000,седан
https://cars.av.by/audi/a6/101353456,7736,2900,Audi A6 C5,Пинск,1997,автомат,2.4, бензин,350000,седан
https://cars.av.by/audi/a6/101375184,16539,6200,Audi A6 C5,Минск,2001,автомат,2.4, бензин,400000,седан
https://cars.av.by/audi/a6/100942338,79892,29950,Audi A6 C7 · Рестайлинг,Борисов,2015,автомат,1.8, бензин,125000,седан
https://cars.av.by/audi/a6/101390765,34011,12750,Audi A6 C6,Гродно,2008,механика,2.0, дизель,312000,седан
https://cars.av.by/audi/a6/101345155,10137,3800,Audi A6 C5,Минск,1999,автомат,2.4, бензин,315000,седан
https://cars.av.by/audi/a6/101008871,46681,17500,Audi A6 C6 · Рестайлинг,Гродно,2009,механика,2.0, дизель,169500,универсал
https://cars.av.by/audi/a6/100708042,22407,8400,Audi A6 C6,Волковыск,2004,механика,2.0, дизель,320000,седан
https://cars.av.by/audi/a6/100808430,152048,57000,Audi A6 C8,Минск,2019,автомат,3.0, бензин,74000,седан
https://cars.av.by/audi/a6/101205931,35478,13300,Audi A6 C6,Старые дороги,2006,автомат,3.0, дизель,412000,седан
https://cars.av.by/audi/a6/101390695,76691,28750,Audi A6 C7 · Рестайлинг,Гродно,2016,автомат,2.0, дизель,222000,универсал
https://cars.av.by/audi/a6/101358032,14271,5350,Audi A6 C5,Ляховичи,2002,автомат,2.5, дизель,270000,универсал
https://cars.av.by/audi/a6/100759140,45081,16900,Audi A6 C7,Пинск,2011,автомат,2.0, бензин,234000,седан
https://cars.av.by/audi/a6/101355675,14805,5550,Audi A6 C4,Волковыск,1997,механика,1.9, дизель,430000,универсал
https://cars.av.by/audi/a6/101028854,14138,5300,Audi A6 C5,Горки,2001,автомат,2.5, дизель,383000,седан
https://cars.av.by/audi/a6/100661836,26008,9750,Audi A6 C6,Чечерск,2006,автомат,2.7, дизель,390000,универсал
https://cars.av.by/audi/a6/100808912,18673,7000,Audi A6 C6,Минск,2004,автомат,3.2, бензин,244400,седан
https://cars.av.by/audi/a6/100970157,9870,3700,Audi A6 C4,Минск,1995,механика,2.6, бензин,417000,седан
https://cars.av.by/audi/a6/101208170,13338,5000,Audi A6 C5,Минск,2002,механика,2.4, бензин,345770,седан
https://cars.av.by/audi/a6/101384745,7602,2850,Audi A6 C4,Бобруйск,1995,механика,2.6, бензин (пропан-бутан),430000,универсал
https://cars.av.by/audi/a6/101390582,14805,5550,Audi A6 C5 · Рестайлинг,Калинковичи,2002,механика,2.5, дизель,356944,универсал
https://cars.av.by/audi/a6/101172168,9336,3500,Audi A6 C4,Минск,1995,механика,1.8, бензин,303900,седан
https://cars.av.by/audi/a6/101319450,18670,6999,Audi A6 C6,Минск,2004,автомат,3.0, дизель,320000,седан
https://cars.av.by/audi/a6/100873297,39212,14700,Audi A6 C7,Брест,2012,автомат,2.0, бензин,171000,седан
https://cars.av.by/audi/a6/101315435,33611,12600,Audi A6 C6 · Рестайлинг,Микашевичи,2009,автомат,2.0, дизель,236000,универсал
https://cars.av.by/audi/a6/101352493,25341,9500,Audi A6 C6,Костюковичи,2006,автомат,2.7, дизель,343000,седан
https://cars.av.by/audi/a6/101353456,7736,2900,Audi A6 C5,Пинск,1997,автомат,2.4, бензин,350000,седан
https://cars.av.by/audi/a6/101375184,16539,6200,Audi A6 C5,Минск,2001,автомат,2.4, бензин,400000,седан
https://cars.av.by/audi/a6/100942338,79892,29950,Audi A6 C7 · Рестайлинг,Борисов,2015,автомат,1.8, бензин,125000,седан
https://cars.av.by/audi/a6/101390765,34011,12750,Audi A6 C6,Гродно,2008,механика,2.0, дизель,312000,седан
https://cars.av.by/audi/a6/101345155,10137,3800,Audi A6 C5,Минск,1999,автомат,2.4, бензин,315000,седан
https://cars.av.by/audi/a6/101008871,46681,17500,Audi A6 C6 · Рестайлинг,Гродно,2009,механика,2.0, дизель,169500,универсал
https://cars.av.by/audi/a6/100708042,22407,8400,Audi A6 C6,Волковыск,2004,механика,2.0, дизель,320000,седан
https://cars.av.by/audi/a6/100808430,152048,57000,Audi A6 C8,Минск,2019,автомат,3.0, бензин,74000,седан
https://cars.av.by/audi/a6/101205931,35478,13300,Audi A6 C6,Старые дороги,2006,автомат,3.0, дизель,412000,седан
https://cars.av.by/audi/a6/101390695,76691,28750,Audi A6 C7 · Рестайлинг,Гродно,2016,автомат,2.0, дизель,222000,универсал
https://cars.av.by/audi/a6/101358032,14271,5350,Audi A6 C5,Ляховичи,2002,автомат,2.5, дизель,270000,универсал
https://cars.av.by/audi/a6/100759140,45081,16900,Audi A6 C7,Пинск,2011,автомат,2.0, бензин,234000,седан
https://cars.av.by/audi/a6/101355675,14805,5550,Audi A6 C4,Волковыск,1997,механика,1.9, дизель,430000,универсал
https://cars.av.by/audi/a6/101028854,14138,5300,Audi A6 C5,Горки,2001,автомат,2.5, дизель,383000,седан
https://cars.av.by/audi/a6/100661836,26008,9750,Audi A6 C6,Чечерск,2006,автомат,2.7, дизель,390000,универсал
https://cars.av.by/audi/a6/100808912,18673,7000,Audi A6 C6,Минск,2004,автомат,3.2, бензин,244400,седан
https://cars.av.by/audi/a6/100970157,9870,3700,Audi A6 C4,Минск,1995,механика,2.6, бензин,417000,седан
https://cars.av.by/audi/a6/101208170,13338,5000,Audi A6 C5,Минск,2002,механика,2.4, бензин,345770,седан
https://cars.av.by/audi/a6/101384745,7602,2850,Audi A6 C4,Бобруйск,1995,механика,2.6, бензин (пропан-бутан),430000,универсал
https://cars.av.by/audi/a6/101390582,14805,5550,Audi A6 C5 · Рестайлинг,Калинковичи,2002,механика,2.5, дизель,356944,универсал
https://cars.av.by/audi/a6/101172168,9336,3500,Audi A6 C4,Минск,1995,механика,1.8, бензин,303900,седан
https://cars.av.by/audi/a6/101319450,18670,6999,Audi A6 C6,Минск,2004,автомат,3.0, дизель,320000,седан
https://cars.av.by/audi/a6/100873297,39212,14700,Audi A6 C7,Брест,2012,автомат,2.0, бензин,171000,седан
https://cars.av.by/audi/a6/101315435,33611,12600,Audi A6 C6 · Рестайлинг,Микашевичи,2009,автомат,2.0, дизель,236000,универсал
https://cars.av.by/audi/a6/101352493,25341,9500,Audi A6 C6,Костюковичи,2006,автомат,2.7, дизель,343000,седан
https://cars.av.by/audi/a6/101353456,7736,2900,Audi A6 C5,Пинск,1997,автомат,2.4, бензин,350000,седан
https://cars.av.by/audi/a6/101375184,16539,6200,Audi A6 C5,Минск,2001,автомат,2.4, бензин,400000,седан
https://cars.av.by/audi/a6/100942338,79892,29950,Audi A6 C7 · Рестайлинг,Борисов,2015,автомат,1.8, бензин,125000,седан
https://cars.av.by/audi/a6/101390765,34011,12750,Audi A6 C6,Гродно,2008,механика,2.0, дизель,312000,седан
https://cars.av.by/audi/a6/101345155,10137,3800,Audi A6 C5,Минск,1999,автомат,2.4, бензин,315000,седан
https://cars.av.by/audi/a6/101008871,46681,17500,Audi A6 C6 · Рестайлинг,Гродно,2009,механика,2.0, дизель,169500,универсал
https://cars.av.by/audi/a6/100708042,22407,8400,Audi A6 C6,Волковыск,2004,механика,2.0, дизель,320000,седан
https://cars.av.by/audi/a6/100808430,152048,57000,Audi A6 C8,Минск,2019,автомат,3.0, бензин,74000,седан
https://cars.av.by/audi/a6/101205931,35478,13300,Audi A6 C6,Старые дороги,2006,автомат,3.0, дизель,412000,седан
https://cars.av.by/audi/a6/101390695,76691,28750,Audi A6 C7 · Рестайлинг,Гродно,2016,автомат,2.0, дизель,222000,универсал
https://cars.av.by/audi/a6/101358032,14271,5350,Audi A6 C5,Ляховичи,2002,автомат,2.5, дизель,270000,универсал
https://cars.av.by/audi/a6/100759140,45081,16900,Audi A6 C7,Пинск,2011,автомат,2.0, бензин,234000,седан
https://cars.av.by/audi/a6/101355675,14805,5550,Audi A6 C4,Волковыск,1997,механика,1.9, дизель,430000,универсал
https://cars.av.by/audi/a6/101028854,14138,5300,Audi A6 C5,Горки,2001,автомат,2.5, дизель,383000,седан
https://cars.av.by/audi/a6/100661836,26008,9750,Audi A6 C6,Чечерск,2006,автомат,2.7, дизель,390000,универсал
https://cars.av.by/audi/a6/100808912,18673,7000,Audi A6 C6,Минск,2004,автомат,3.2, бензин,244400,седан
https://cars.av.by/audi/a6/100970157,9870,3700,Audi A6 C4,Минск,1995,механика,2.6, бензин,417000,седан
https://cars.av.by/audi/a6/101208170,13338,5000,Audi A6 C5,Минск,2002,механика,2.4, бензин,345770,седан
https://cars.av.by/audi/a6/101384745,7602,2850,Audi A6 C4,Бобруйск,1995,механика,2.6, бензин (пропан-бутан),430000,универсал
https://cars.av.by/audi/a6/101390582,14805,5550,Audi A6 C5 · Рестайлинг,Калинковичи,2002,механика,2.5, дизель,356944,универсал
https://cars.av.by/audi/a6/101172168,9336,3500,Audi A6 C4,Минск,1995,механика,1.8, бензин,303900,седан
https://cars.av.by/audi/a6/101319450,18670,6999,Audi A6 C6,Минск,2004,автомат,3.0, дизель,320000,седан
https://cars.av.by/audi/a6/100873297,39212,14700,Audi A6 C7,Брест,2012,автомат,2.0, бензин,171000,седан
https://cars.av.by/audi/a6/101315435,33611,12600,Audi A6 C6 · Рестайлинг,Микашевичи,2009,автомат,2.0, дизель,236000,универсал
https://cars.av.by/audi/a6/101352493,25341,9500,Audi A6 C6,Костюковичи,2006,автомат,2.7, дизель,343000,седан
https://cars.av.by/audi/a6/101353456,7736,2900,Audi A6 C5,Пинск,1997,автомат,2.4, бензин,350000,седан
https://cars.av.by/audi/a6/101375184,16539,6200,Audi A6 C5,Минск,2001,автомат,2.4, бензин,400000,седан
https://cars.av.by/audi/a6/100942338,79892,29950,Audi A6 C7 · Рестайлинг,Борисов,2015,автомат,1.8, бензин,125000,седан
https://cars.av.by/audi/a6/101390765,34011,12750,Audi A6 C6,Гродно,2008,механика,2.0, дизель,312000,седан
https://cars.av.by/audi/a6/101345155,10137,3800,Audi A6 C5,Минск,1999,автомат,2.4, бензин,315000,седан
https://cars.av.by/audi/a6/101008871,46681,17500,Audi A6 C6 · Рестайлинг,Гродно,2009,механика,2.0, дизель,169500,универсал
https://cars.av.by/audi/a6/100708042,22407,8400,Audi A6 C6,Волковыск,2004,механика,2.0, дизель,320000,седан
https://cars.av.by/audi/a6/100808430,152048,57000,Audi A6 C8,Минск,2019,автомат,3.0, бензин,74000,седан
https://cars.av.by/audi/a6/101205931,35478,13300,Audi A6 C6,Старые дороги,2006,автомат,3.0, дизель,412000,седан
https://cars.av.by/audi/a6/101390695,76691,28750,Audi A6 C7 · Рестайлинг,Гродно,2016,автомат,2.0, дизель,222000,универсал
https://cars.av.by/audi/a6/101358032,14271,5350,Audi A6 C5,Ляховичи,2002,автомат,2.5, дизель,270000,универсал
https://cars.av.by/audi/a6/100759140,45081,16900,Audi A6 C7,Пинск,2011,автомат,2.0, бензин,234000,седан
https://cars.av.by/audi/a6/101355675,14805,5550,Audi A6 C4,Волковыск,1997,механика,1.9, дизель,430000,универсал
https://cars.av.by/audi/a6/101028854,14138,5300,Audi A6 C5,Горки,2001,автомат,2.5, дизель,383000,седан
https://cars.av.by/audi/a6/100661836,26008,9750,Audi A6 C6,Чечерск,2006,автомат,2.7, дизель,390000,универсал
https://cars.av.by/audi/a6/100808912,18673,7000,Audi A6 C6,Минск,2004,автомат,3.2, бензин,244400,седан
https://cars.av.by/audi/a6/100970157,9870,3700,Audi A6 C4,Минск,1995,механика,2.6, бензин,417000,седан
https://cars.av.by/audi/a6/101208170,13338,5000,Audi A6 C5,Минск,2002,механика,2.4, бензин,345770,седан
https://cars.av.by/audi/a6/101384745,7602,2850,Audi A6 C4,Бобруйск,1995,механика,2.6, бензин (пропан-бутан),430000,универсал
https://cars.av.by/audi/a6/101390582,14805,5550,Audi A6 C5 · Рестайлинг,Калинковичи,2002,механика,2.5, дизель,356944,универсал
https://cars.av.by/audi/a6/101172168,9336,3500,Audi A6 C4,Минск,1995,механика,1.8, бензин,303900,седан
https://cars.av.by/audi/a6/101319450,18670,6999,Audi A6 C6,Минск,2004,автомат,3.0, дизель,320000,седан
https://cars.av.by/audi/a6/100873297,39212,14700,Audi A6 C7,Брест,2012,автомат,2.0, бензин,171000,седан
https://cars.av.by/audi/a6/101315435,33611,12600,Audi A6 C6 · Рестайлинг,Микашевичи,2009,автомат,2.0, дизель,236000,универсал
https://cars.av.by/audi/a6/101352493,25341,9500,Audi A6 C6,Костюковичи,2006,автомат,2.7, дизель,343000,седан
https://cars.av.by/audi/a6/101353456,7736,2900,Audi A6 C5,Пинск,1997,автомат,2.4, бензин,350000,седан
https://cars.av.by/audi/a6/101375184,16539,6200,Audi A6 C5,Минск,2001,автомат,2.4, бензин,400000,седан
https://cars.av.by/audi/a6/100942338,79892,29950,Audi A6 C7 · Рестайлинг,Борисов,2015,автомат,1.8, бензин,125000,седан
https://cars.av.by/audi/a6/101390765,34011,12750,Audi A6 C6,Гродно,2008,механика,2.0, дизель,312000,седан
https://cars.av.by/audi/a6/101345155,10137,3800,Audi A6 C5,Минск,1999,автомат,2.4, бензин,315000,седан
https://cars.av.by/audi/a6/101008871,46681,17500,Audi A6 C6 · Рестайлинг,Гродно,2009,механика,2.0, дизель,169500,универсал
https://cars.av.by/audi/a6/100708042,22407,8400,Audi A6 C6,Волковыск,2004,механика,2.0, дизель,320000,седан
https://cars.av.by/audi/a6/100808430,152048,57000,Audi A6 C8,Минск,2019,автомат,3.0, бензин,74000,седан
https://cars.av.by/audi/a6/101205931,35478,13300,Audi A6 C6,Старые дороги,2006,автомат,3.0, дизель,412000,седан
https://cars.av.by/audi/a6/101390695,76691,28750,Audi A6 C7 · Рестайлинг,Гродно,2016,автомат,2.0, дизель,222000,универсал
https://cars.av.by/audi/a6/101358032,14271,5350,Audi A6 C5,Ляховичи,2002,автомат,2.5, дизель,270000,универсал
https://cars.av.by/audi/a6/100759140,45081,16900,Audi A6 C7,Пинск,2011,автомат,2.0, бензин,234000,седан
https://cars.av.by/audi/a6/101355675,14805,5550,Audi A6 C4,Волковыск,1997,механика,1.9, дизель,430000,универсал
https://cars.av.by/audi/a6/101028854,14138,5300,Audi A6 C5,Горки,2001,автомат,2.5, дизель,383000,седан
https://cars.av.by/audi/a6/100661836,26008,9750,Audi A6 C6,Чечерск,2006,автомат,2.7, дизель,390000,универсал
https://cars.av.by/audi/a6/100808912,18673,7000,Audi A6 C6,Минск,2004,автомат,3.2, бензин,244400,седан
https://cars.av.by/audi/a6/100970157,9870,3700,Audi A6 C4,Минск,1995,механика,2.6, бензин,417000,седан
https://cars.av.by/audi/a6/101208170,13338,5000,Audi A6 C5,Минск,2002,механика,2.4, бензин,345770,седан
https://cars.av.by/audi/a6/101384745,7602,2850,Audi A6 C4,Бобруйск,1995,механика,2.6, бензин (пропан-бутан),430000,универсал
https://cars.av.by/audi/a6/101390582,14805,5550,Audi A6 C5 · Рестайлинг,Калинковичи,2002,механика,2.5, дизель,356944,универсал
https://cars.av.by/audi/a6/101172168,9336,3500,Audi A6 C4,Минск,1995,механика,1.8, бензин,303900,седан
https://cars.av.by/audi/a6/101319450,18670,6999,Audi A6 C6,Минск,2004,автомат,3.0, дизель,320000,седан
https://cars.av.by/audi/a6/100873297,39212,14700,Audi A6 C7,Брест,2012,автомат,2.0, бензин,171000,седан
https://cars.av.by/audi/a6/101315435,33611,12600,Audi A6 C6 · Рестайлинг,Микашевичи,2009,автомат,2.0, дизель,236000,универсал
https://cars.av.by/audi/a6/101352493,25341,9500,Audi A6 C6,Костюковичи,2006,автомат,2.7, дизель,343000,седан
https://cars.av.by/audi/a6/101353456,7736,2900,Audi A6 C5,Пинск,1997,автомат,2.4, бензин,350000,седан
https://cars.av.by/audi/a6/101375184,16539,6200,Audi A6 C5,Минск,2001,автомат,2.4, бензин,400000,седан
https://cars.av.by/audi/a6/100942338,79892,29950,Audi A6 C7 · Рестайлинг,Борисов,2015,автомат,1.8, бензин,125000,седан
https://cars.av.by/audi/a6/101390765,34011,12750,Audi A6 C6,Гродно,2008,механика,2.0, дизель,312000,седан
https://cars.av.by/audi/a6/101345155,10137,3800,Audi A6 C5,Минск,1999,автомат,2.4, бензин,315000,седан
https://cars.av.by/audi/a6/101008871,46681,17500,Audi A6 C6 · Рестайлинг,Гродно,2009,механика,2.0, дизель,169500,универсал
https://cars.av.by/audi/a6/100708042,22407,8400,Audi A6 C6,Волковыск,2004,механика,2.0, дизель,320000,седан
https://cars.av.by/audi/a6/100808430,152048,57000,Audi A6 C8,Минск,2019,автомат,3.0, бензин,74000,седан
https://cars.av.by/audi/a6/101205931,35478,13300,Audi A6 C6,Старые дороги,2006,автомат,3.0, дизель,412000,седан
https://cars.av.by/audi/a6/101390695,76691,28750,Audi A6 C7 · Рестайлинг,Гродно,2016,автомат,2.0, дизель,222000,универсал
https://cars.av.by/audi/a6/101358032,14271,5350,Audi A6 C5,Ляховичи,2002,автомат,2.5, дизель,270000,универсал
https://cars.av.by/audi/a6/100759140,45081,16900,Audi A6 C7,Пинск,2011,автомат,2.0, бензин,234000,седан
https://cars.av.by/audi/a6/101355675,14805,5550,Audi A6 C4,Волковыск,1997,механика,1.9, дизель,430000,универсал
https://cars.av.by/audi/a6/101028854,14138,5300,Audi A6 C5,Горки,2001,автомат,2.5, дизель,383000,седан
https://cars.av.by/audi/a6/100661836,26008,9750,Audi A6 C6,Чечерск,2006,автомат,2.7, дизель,390000,универсал
https://cars.av.by/audi/a6/100808912,18673,7000,Audi A6 C6,Минск,2004,автомат,3.2, бензин,244400,седан
https://cars.av.by/audi/a6/100970157,9870,3700,Audi A6 C4,Минск,1995,механика,2.6, бензин,417000,седан
https://cars.av.by/audi/a6/101208170,13338,5000,Audi A6 C5,Минск,2002,механика,2.4, бензин,345770,седан
https://cars.av.by/audi/a6/101384745,7602,2850,Audi A6 C4,Бобруйск,1995,механика,2.6, бензин (пропан-бутан),430000,универсал
https://cars.av.by/audi/a6/101390582,14805,5550,Audi A6 C5 · Рестайлинг,Калинковичи,2002,механика,2.5, дизель,356944,универсал
https://cars.av.by/audi/a6/101172168,9336,3500,Audi A6 C4,Минск,1995,механика,1.8, бензин,303900,седан
https://cars.av.by/audi/a6/101319450,18670,6999,Audi A6 C6,Минск,2004,автомат,3.0, дизель,320000,седан
https://cars.av.by/audi/a6/100873297,39212,14700,Audi A6 C7,Брест,2012,автомат,2.0, бензин,171000,седан
https://cars.av.by/audi/a6/101315435,33611,12600,Audi A6 C6 · Рестайлинг,Микашевичи,2009,автомат,2.0, дизель,236000,универсал
https://cars.av.by/audi/a6/101352493,25341,9500,Audi A6 C6,Костюковичи,2006,автомат,2.7, дизель,343000,седан
https://cars.av.by/audi/a6/101353456,7736,2900,Audi A6 C5,Пинск,1997,автомат,2.4, бензин,350000,седан
https://cars.av.by/audi/a6/101375184,16539,6200,Audi A6 C5,Минск,2001,автомат,2.4, бензин,400000,седан
https://cars.av.by/audi/a6/100942338,79892,29950,Audi A6 C7 · Рестайлинг,Борисов,2015,автомат,1.8, бензин,125000,седан
https://cars.av.by/audi/a6/101390765,34011,12750,Audi A6 C6,Гродно,2008,механика,2.0, дизель,312000,седан
https://cars.av.by/audi/a6/101345155,10137,3800,Audi A6 C5,Минск,1999,автомат,2.4, бензин,315000,седан
https://cars.av.by/audi/a6/101008871,46681,17500,Audi A6 C6 · Рестайлинг,Гродно,2009,механика,2.0, дизель,169500,универсал
https://cars.av.by/audi/a6/100708042,22407,8400,Audi A6 C6,Волковыск,2004,механика,2.0, дизель,320000,седан
https://cars.av.by/audi/a6/100808430,152048,57000,Audi A6 C8,Минск,2019,автомат,3.0, бензин,74000,седан
https://cars.av.by/audi/a6/101205931,35478,13300,Audi A6 C6,Старые дороги,2006,автомат,3.0, дизель,412000,седан
https://cars.av.by/audi/a6/101390695,76691,28750,Audi A6 C7 · Рестайлинг,Гродно,2016,автомат,2.0, дизель,222000,универсал
https://cars.av.by/audi/a6/101358032,14271,5350,Audi A6 C5,Ляховичи,2002,автомат,2.5, дизель,270000,универсал
https://cars.av.by/audi/a6/100759140,45081,16900,Audi A6 C7,Пинск,2011,автомат,2.0, бензин,234000,седан
https://cars.av.by/audi/a6/101355675,14805,5550,Audi A6 C4,Волковыск,1997,механика,1.9, дизель,430000,универсал
https://cars.av.by/audi/a6/101028854,14138,5300,Audi A6 C5,Горки,2001,автомат,2.5, дизель,383000,седан
https://cars.av.by/audi/a6/100661836,26008,9750,Audi A6 C6,Чечерск,2006,автомат,2.7, дизель,390000,универсал
https://cars.av.by/audi/a6/100808912,18673,7000,Audi A6 C6,Минск,2004,автомат,3.2, бензин,244400,седан
https://cars.av.by/audi/a6/100970157,9870,3700,Audi A6 C4,Минск,1995,механика,2.6, бензин,417000,седан
https://cars.av.by/audi/a6/101208170,13338,5000,Audi A6 C5,Минск,2002,механика,2.4, бензин,345770,седан
https://cars.av.by/audi/a6/101384745,7602,2850,Audi A6 C4,Бобруйск,1995,механика,2.6, бензин (пропан-бутан),430000,универсал
https://cars.av.by/audi/a6/101390582,14805,5550,Audi A6 C5 · Рестайлинг,Калинковичи,2002,механика,2.5, дизель,356944,универсал
https://cars.av.by/audi/a6/101172168,9336,3500,Audi A6 C4,Минск,1995,механика,1.8, бензин,303900,седан
https://cars.av.by/audi/a6/101319450,18670,6999,Audi A6 C6,Минск,2004,автомат,3.0, дизель,320000,седан
https://cars.av.by/audi/a6/100873297,39212,14700,Audi A6 C7,Брест,2012,автомат,2.0, бензин,171000,седан
https://cars.av.by/audi/a6/101315435,33611,12600,Audi A6 C6 · Рестайлинг,Микашевичи,2009,автомат,2.0, дизель,236000,универсал
https://cars.av.by/audi/a6/101352493,25341,9500,Audi A6 C6,Костюковичи,2006,автомат,2.7, дизель,343000,седан
https://cars.av.by/audi/a6/101353456,7736,2900,Audi A6 C5,Пинск,1997,автомат,2.4, бензин,350000,седан
https://cars.av.by/audi/a6/101375184,16539,6200,Audi A6 C5,Минск,2001,автомат,2.4, бензин,400000,седан
https://cars.av.by/audi/a6/100942338,79892,29950,Audi A6 C7 · Рестайлинг,Борисов,2015,автомат,1.8, бензин,125000,седан
https://cars.av.by/audi/a6/101390765,34011,12750,Audi A6 C6,Гродно,2008,механика,2.0, дизель,312000,седан
https://cars.av.by/audi/a6/101345155,10137,3800,Audi A6 C5,Минск,1999,автомат,2.4, бензин,315000,седан
https://cars.av.by/audi/a6/101008871,46681,17500,Audi A6 C6 · Рестайлинг,Гродно,2009,механика,2.0, дизель,169500,универсал
https://cars.av.by/audi/a6/100708042,22407,8400,Audi A6 C6,Волковыск,2004,механика,2.0, дизель,320000,седан
https://cars.av.by/audi/a6/100808430,152048,57000,Audi A6 C8,Минск,2019,автомат,3.0, бензин,74000,седан
https://cars.av.by/audi/a6/101205931,35478,13300,Audi A6 C6,Старые дороги,2006,автомат,3.0, дизель,412000,седан
https://cars.av.by/audi/a6/101390695,76691,28750,Audi A6 C7 · Рестайлинг,Гродно,2016,автомат,2.0, дизель,222000,универсал
https://cars.av.by/audi/a6/101358032,14271,5350,Audi A6 C5,Ляховичи,2002,автомат,2.5, дизель,270000,универсал
https://cars.av.by/audi/a6/100759140,45081,16900,Audi A6 C7,Пинск,2011,автомат,2.0, бензин,234000,седан
https://cars.av.by/audi/a6/101355675,14805,5550,Audi A6 C4,Волковыск,1997,механика,1.9, дизель,430000,универсал
https://cars.av.by/audi/a6/101028854,14138,5300,Audi A6 C5,Горки,2001,автомат,2.5, дизель,383000,седан
https://cars.av.by/audi/a6/100661836,26008,9750,Audi A6 C6,Чечерск,2006,автомат,2.7, дизель,390000,универсал
https://cars.av.by/audi/a6/100808912,18673,7000,Audi A6 C6,Минск,2004,автомат,3.2, бензин,244400,седан
https://cars.av.by/audi/a6/100970157,9870,3700,Audi A6 C4,Минск,1995,механика,2.6, бензин,417000,седан
https://cars.av.by/audi/a6/101208170,13338,5000,Audi A6 C5,Минск,2002,механика,2.4, бензин,345770,седан
https://cars.av.by/audi/a6/101384745,7602,2850,Audi A6 C4,Бобруйск,1995,механика,2.6, бензин (пропан-бутан),430000,универсал
https://cars.av.by/audi/a6/101390582,14805,5550,Audi A6 C5 · Рестайлинг,Калинковичи,2002,механика,2.5, дизель,356944,универсал
https://cars.av.by/audi/a6/101172168,9336,3500,Audi A6 C4,Минск,1995,механика,1.8, бензин,303900,седан
https://cars.av.by/audi/a6/101319450,18670,6999,Audi A6 C6,Минск,2004,автомат,3.0, дизель,320000,седан
https://cars.av.by/audi/a6/100873297,39212,14700,Audi A6 C7,Брест,2012,автомат,2.0, бензин,171000,седан
https://cars.av.by/audi/a6/101315435,33611,12600,Audi A6 C6 · Рестайлинг,Микашевичи,2009,автомат,2.0, дизель,236000,универсал
https://cars.av.by/audi/a6/101352493,25341,9500,Audi A6 C6,Костюковичи,2006,автомат,2.7, дизель,343000,седан
https://cars.av.by/audi/a6/101353456,7736,2900,Audi A6 C5,Пинск,1997,автомат,2.4, бензин,350000,седан
https://cars.av.by/audi/a6/101375184,16539,6200,Audi A6 C5,Минск,2001,автомат,2.4, бензин,400000,седан
https://cars.av.by/audi/a6/100942338,79892,29950,Audi A6 C7 · Рестайлинг,Борисов,2015,автомат,1.8, бензин,125000,седан
https://cars.av.by/audi/a6/101390765,34011,12750,Audi A6 C6,Гродно,2008,механика,2.0, дизель,312000,седан
https://cars.av.by/audi/a6/101345155,10137,3800,Audi A6 C5,Минск,1999,автомат,2.4, бензин,315000,седан
https://cars.av.by/audi/a6/101008871,46681,17500,Audi A6 C6 · Рестайлинг,Гродно,2009,механика,2.0, дизель,169500,универсал
https://cars.av.by/audi/a6/100708042,22407,8400,Audi A6 C6,Волковыск,2004,механика,2.0, дизель,320000,седан
https://cars.av.by/audi/a6/100808430,152048,57000,Audi A6 C8,Минск,2019,автомат,3.0, бензин,74000,седан
https://cars.av.by/audi/a6/101205931,35478,13300,Audi A6 C6,Старые дороги,2006,автомат,3.0, дизель,412000,седан
https://cars.av.by/audi/a6/101390695,76691,28750,Audi A6 C7 · Рестайлинг,Гродно,2016,автомат,2.0, дизель,222000,универсал
https://cars.av.by/audi/a6/101358032,14271,5350,Audi A6 C5,Ляховичи,2002,автомат,2.5, дизель,270000,универсал
https://cars.av.by/audi/a6/100759140,45081,16900,Audi A6 C7,Пинск,2011,автомат,2.0, бензин,234000,седан
https://cars.av.by/audi/a6/101355675,14805,5550,Audi A6 C4,Волковыск,1997,механика,1.9, дизель,430000,универсал
https://cars.av.by/audi/a6/101028854,14138,5300,Audi A6 C5,Горки,2001,автомат,2.5, дизель,383000,седан
https://cars.av.by/audi/a6/100661836,26008,9750,Audi A6 C6,Чечерск,2006,автомат,2.7, дизель,390000,универсал
https://cars.av.by/audi/a6/100808912,18673,7000,Audi A6 C6,Минск,2004,автомат,3.2, бензин,244400,седан
https://cars.av.by/audi/a6/100970157,9870,3700,Audi A6 C4,Минск,1995,механика,2.6, бензин,417000,седан
https://cars.av.by/audi/a6/101208170,13338,5000,Audi A6 C5,Минск,2002,механика,2.4, бензин,345770,седан
